video_id,thumbnails,Title,Published_date,Views,Likes,Comments
HMwsAd_mOts,https://i.ytimg.com/vi/HMwsAd_mOts/default.jpg,١٠ حاجات لازم تعملهم في الأجازة,2023-08-04T15:54:39Z,48952,7378,593
xxcuQ1qmH24,https://i.ytimg.com/vi/xxcuQ1qmH24/default.jpg,١٠ مستويات لاستخدام التليفون,2023-07-28T14:06:20Z,169919,15366,2312
8JE0FwoJrUE,https://i.ytimg.com/vi/8JE0FwoJrUE/default.jpg,الچيم والدش الصاقع والصحيان بدري كلام فارغ؟,2023-07-21T12:33:57Z,357592,25026,1937
FM3jv3U9Nh8,https://i.ytimg.com/vi/FM3jv3U9Nh8/default.jpg,كيف تصمم بيئة النجاح؟,2023-07-10T14:00:19Z,453257,35714,1990
-elC2z-4jY4,https://i.ytimg.com/vi/-elC2z-4jY4/default.jpg,"جولة في تليفوني, فلسفة استخدامي للتليفون الذكي ٢٠٢٣",2023-06-30T13:26:32Z,263960,22272,985
WHTITfW9X8E,https://i.ytimg.com/vi/WHTITfW9X8E/default.jpg,كيف تنجح وأنت متخاذل ضعيف الإرادة؟,2023-06-23T14:00:02Z,632659,51286,2161
HJl3sAuk2jk,https://i.ytimg.com/vi/HJl3sAuk2jk/default.jpg,ضروري جداً تتعلم المهارات الناعمة حالاً,2023-06-16T13:30:06Z,752490,55168,2026
PW9nUrkmzIQ,https://i.ytimg.com/vi/PW9nUrkmzIQ/default.jpg,الطريقة الصحيحة لاستخدام يوتيوب,2023-06-09T13:56:50Z,351805,43095,3446
LLf3wPHrKus,https://i.ytimg.com/vi/LLf3wPHrKus/default.jpg,ذاكر معي ساعتين بتقنية البومودورو - Study with me,2023-06-04T12:02:37Z,190259,9412,825
-MoFaxb0rwQ,https://i.ytimg.com/vi/-MoFaxb0rwQ/default.jpg,ازاي تذاكر في زنقة الامتحانات؟!,2023-05-26T11:43:03Z,374363,41325,2314
Df-Ou0AphH4,https://i.ytimg.com/vi/Df-Ou0AphH4/default.jpg,بودكاست مع أحمد فهمي: قعدة مصطبة يوتيوبية هندسية بين طنطا والأسكندرية.,2023-05-20T13:00:08Z,295659,13500,1069
lWn0RL73Eqg,https://i.ytimg.com/vi/lWn0RL73Eqg/default.jpg,كيف تخدعنا أيكيا؟,2023-05-12T12:00:38Z,237607,18774,1180
UeWjgncW2DQ,https://i.ytimg.com/vi/UeWjgncW2DQ/default.jpg,ذاكر معي ٤ ساعات بتقنية البومودورو  - Study with me,2023-05-07T15:33:56Z,1266894,55545,4131
nx7-R-x1bSI,https://i.ytimg.com/vi/nx7-R-x1bSI/default.jpg,١٠ حكم حياتيه في ١٠ صور عبقرية,2023-05-01T07:00:20Z,282790,27923,1207
