thumbnails,Playlist_id,Title,Published_date,Description,View_Count,Subscribers_Count,Video_Count
https://yt3.ggpht.com/ytc/AOPolaTFH8-T4rsA7ktgbJTairt4q7szO69bKEBLlx0F_4k=s88-c-k-c0x00ffffff-no-rj,UU1FksTDit4ij9ogFAUC9xxg,Deena Gergis,2013-01-16T20:40:47Z,,241640,19800,21
https://yt3.ggpht.com/hDzatHJGQO6wof7lUbu3m-aLSsyFHHTds47TfGKVR5GL7D1IAR7m2DiwAPBhrUYXN5y8XUkLNg=s88-c-k-c0x00ffffff-no-rj,UU4tNC0SDwlGrx1SpTz-gJGA,حياة بوك Hayahbook ,2019-02-09T12:14:07Z,"قناة وثائقية تاريخية تضم مختلف أنواع المحتوي الغريب والذي حدث بالفعل  لتوثيق حياة البشر الأولي  وغرائب العوالم والحضارات السابقة.
و نحظي بفريق عمل رائع من باحثين و محررين و التعليق الصوتي و المونتاج لنقدم لكم المحتوي في أبهي صوره من خلال إتقان رواية القصص الذي حدثت بالفعل.
و نتمني ان تكون جزء من مسيرتنا في نشر الثقافة ❤️ 
اشترك الأن فى القناة  و اضغط علي زر ""التنبيهات "" 🔔و اختار الكل 😉
و متنسوش تتابعونا علي مواقع التواصل الاجتماعي  
Facebook: Hayahbook
Tiktok: @Hayahbook
Instgram: Hayahbook
",77556535,711000,580
https://yt3.ggpht.com/pSqIjky4g52ankdjzakfJQuEHEMTHzl8VCWkxUbxgCrTopjJgS4CPV_qrzcja0QP-Btssl_x=s88-c-k-c0x00ffffff-no-rj,UU8J_3JJ-Sjv7kUocEiEZcnQ,Peace Cake ,2015-04-12T10:44:57Z,"إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات..
بنحب نعمل شغل لذيذ وخفيف على القلب.
 ✌️🎂
tap.bio/@peacecake
",307798447,1710000,386
https://yt3.ggpht.com/ytc/AOPolaQpOyUzDhLCVPRM3jVTKYefrUr1OJNTLmwYkieG8A=s88-c-k-c0x00ffffff-no-rj,UUwjLh640nGXSGa9iHRS31ag,إذاعة ثمانية,2015-05-03T19:04:56Z,"هذه القناة مخصصة لنشر برامج البودكاست التي تنتجها ثمانية، كبودكاست فنجان، وبودكاست سقراط، وبودكاست سوالف بزنس... هذه القناة تعطي بعدًا جديدًا للبودكاست والبرامج الصوتية الإذاعية. نطلق عليها اسم ""إذاعة ثمانية"" كون البودكاست هو البديل الحقيقي لمفهوم الراديو والإذاعة التقليدية. أهلاً بكم.
هذه القناة إحدى منتجات شركة ثمانية للنشر والتوزيع.",266072702,2260000,697
https://yt3.ggpht.com/ytc/AOPolaRc-FKeIFbObHbZEY0zXxbvtBcNfB0rBb_dDb3lrw=s88-c-k-c0x00ffffff-no-rj-mo,UUp-brkrLhdNTkAVoR1qHm3A,CairokeeOfficial,2008-12-21T06:29:47Z,"Cairokee, the name is aspired from both the words Cairo and karaoke which means singing along with Cairo. The band first, started by the name The Black star which means the unseen star, where they used to play English covers. But the band was seriously formed in the year 2003, ever since the band has performed live in various places. The idea of playing music and performing live was a childhood dream for all the members of the band.

http://www.cairokee.com/",804694328,3170000,133
https://yt3.ggpht.com/gMBsGTKJ2ShfZZmYIErdLUNoj2D44L6fxlgr8EcspRF5QonBcYM9EEnGneK0j1wvpzeJ9DoA1A=s88-c-k-c0x00ffffff-no-rj,UU_TWGuu0nCqwu3CiMwxlXDA,Ahmed ibrahim,2019-04-27T15:35:42Z,,779507,14600,308
https://yt3.ggpht.com/ZPOpHmcPou8-5pRKKvsRR0iLucXe-feZbNkSZV-ALyaXFBKzlYfeV-CKwQvr_wPcWQ41nxpenT4=s88-c-k-c0x00ffffff-no-rj,UUPXKFARrr9KIazKFsIdZrbg,Ana Alaraby - أنا العربي,2015-07-19T14:19:45Z,أنا العربي هي قناة رقمية لشبكة التلفزيون العربي، تصلكم عبر منصات التواصل الاجتماعي ومنصات الفيديو تحت الطلب، تشارككم قصصاً تهمكم عن السياسة والاقتصاد والفن والرياضة والثقافة والعلوم والحياة العامة، وتفتح للمشاهد العربي آفاقاً للتعبير عن ذاته، وتمكين صوته، وتوثيق ذاكرته,6471971,111000,284
https://yt3.ggpht.com/ytc/AOPolaTNujwiXmU67UCiKnK-weKDixxeLjiIUH2uc5ca=s88-c-k-c0x00ffffff-no-rj,UU4moDiwIJPtcjk8ITj_I7VQ,زي الكتاب ما بيقول,2019-09-22T17:09:32Z,"زي الكتاب ما بيقول .. هي فيديوهات بنحاول من خلالها اننا نغوص في رحلة بحث مستمرة في بحر المعرفة الإنسانية.
الكتاب هنا مانقصدش بيه الشكل الكلاسيكي للكتاب إنما المعرفة الإنسانية والتجارب والخبرات الإنسانية على مر العصور واختلاف الحضارات.... 
من الاخر كدة  الكتب بتقول ان اختراع العجلة حصل من أكثر من ٥٠٠٠ سنة قبل الميلاد تقريبا  يعني الكائن الحي اللي اسمه الإنسان من أول بدء الخليقة حتى نهايتها  بيمر بتجارب وبتعلم وبتطور وبينقل خبراته دي عن طريق وسائط مختلفة للأجيال اللي بعد كدة
وهو ده الهدف اننا نقرأ ونتعلم ونبحث علشان نستفيد من تجارب الإنسان السابقة
البحث مستمر",77851695,1090000,293
https://yt3.ggpht.com/ytc/AOPolaQ4_QJtvQxe-O-MiY90AFcLOhCag7qnTqG8Hy4Lxg=s88-c-k-c0x00ffffff-no-rj,UUu1NJiJlhrhmF5ZgT-0yWdA,ReadTube - جيل يقرأ,2017-04-27T18:08:02Z,"قناة تعليمية ترفيهية تسعى إلى نشر ثقافة القراءة لصناعة ""جيل يقرأ""",58187073,1860000,197
https://yt3.ggpht.com/ytc/AOPolaTB9XtbM37u9jey7AFl8Lrbu4pPIdlYraSp0l5y0g=s88-c-k-c0x00ffffff-no-rj,UUEHvaZ336u7TIsUQ2c6SAeQ,دروس أونلاين,2012-07-31T03:41:40Z,"هذه القناه مهتمه بتعليم اللغه الانجليزيه و  الجرافك  و نصائح في اي مجال او تعليم كيفيه عمل اي شئ- الى حد ما - ...ببساطه هذه قناة للتعلم..
 موقعنا DroosOnline.com

الايميل : Contact@droosonline.com",382680922,7330000,563
